price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,amenities,locality
₹ 60 Lacs,"1,030",2 Bedroom,2 Bathroom,1.0,Vinayaka Terraces,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/2,Car,No,"[""Children's play area"", 'Visitor parking']",Attiguppe
₹ 60 Lacs,"2,400",3 Bedroom,5 Bathroom,,Independent House,3-5 years,Self Owned,3-5 years,"2,400 sq.ft",Semi,East,4/4,No,No,,Attiguppe
₹ 1.2 Crores,"1,200",4 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Unfurnished,0/0,0/0,No,No,,Attiguppe
₹ 20 Lacs,450,1 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,450 sq.ft,Unfurnished,East,0/1,No,No,,Attiguppe
₹ 5.5 Crores,"2,200",4 Bedroom,3 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"2,200 sq.ft",Semi,South-East,0/0,Bike and Car,No,,Attiguppe
₹ 1.5 Crores,"2,500",4 Bedroom,5 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"2,500 sq.ft",Fully furnished,West,0/2,Car,Yes,['Security'],Attiguppe
₹ 1.35 Crores,"1,350",3 Bedroom,3 Bathroom,,Madhav Kuteer,>10 years,Self Owned,>10 years,,Semi,East,2/2,Bike and Car,No,,Attiguppe
₹ 66 Lacs,"1,163",2 Bedroom,2 Bathroom,1.0,Sri Ravi Aramane,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,0/5,Bike and Car,No,['Lift'],Attiguppe
₹ 95 Lacs,"1,100",2 Bedroom,2 Bathroom,,Standalone Building,1-3 years,Self Owned,1-3 years,"1,100 sq.ft",1/4,East,1/4,Bike and Car,Yes,['Security'],Attiguppe
₹ 20 Lacs,500,1 Bedroom,1 Bathroom,,Slumboard Apartment,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,1/4,No,No,,Attiguppe
₹ 95 Lacs,686,2 Bedroom,3 Bathroom,2.0,Standalone Building,>10 years,Self Owned,>10 years,686 sq.ft,2/2,North,2/2,No,No,,Attiguppe
₹ 1.65 Crores,"3,300",4 Bedroom,9 Bathroom,,Standalone Building,5-10 years,Self Owned,5-10 years,"3,300 sq.ft",0/3,East,0/3,Bike and Car,No,,Attiguppe
₹ 80 Lacs,"1,200",4 Bedroom,3 Bathroom,,Madhava Arcade,3-5 years,Self Owned,3-5 years,,Semi,North,3/4,Bike and Car,Yes,['Security'],Attiguppe
₹ 3.6 Crores,"2,000",4 Bedroom,10 Bathroom,,Madeshwara Nilaya,5-10 years,Self Owned,5-10 years,,Semi,North,0/4,Bike,No,,Attiguppe
₹ 80 Lacs,900,2 Bedroom,2 Bathroom,1.0,Maruthi Apartments,>10 years,Self Owned,>10 years,Mosaic,Unfurnished,North,2/2,Bike,No,,Attiguppe
₹ 1.5 Crores,"2,800",4 Bedroom,9 Bathroom,,Nv Building,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,0/4,Bike and Car,No,,Attiguppe
₹ 4 Crores,600,1 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,600 sq.ft,Fully furnished,South-East,0/3,Bike,No,,Attiguppe
