web-scraper-order,web-scraper-start-url,link01,link01-href,price,sqft,bedroom,bathroom,balcony,apartment,age,ownership,maintenance,flooring,furnishing,facing,floor,parking,gated_security,description,bus_station,amenities,address,locality,bus_count
1704967473-1,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,2 BHK Flat In Vinayaka Terraces For Sale  In Vijaya Nagar,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-vijaya-nagar-bangalore/8a9fc1828082f08201808349ba6b3924/detail,₹ 60 Lacs,"1,030",2 Bedroom,2 Bathroom,1.0,Vinayaka Terraces,>10 years,Self Owned,>10 years,Vitrified Tiles,Semi,East,2/2,Car,No,"The property is situated in very nice location. It can be redeveloped. Only seven flats in the building.
This lovely double bedroom for sale is only 60 Lakhs rupees without any extra brokerage & could be your new home. This home is over 1030 sqft. & even comes with ample space for parking of car. This East facing home is on the 2nd floor.

You are viewing the right home if you would prefer a house with visitor parking & servant quarters. With kids playing zone available in this home, you will always have something to do here.

Access to bus stop & pharmacies is very easy & convenient from this house.

Swarna Jyothi Kids Zone, Orchids The International School and Carmel High School are well known educational institutes in town & are very close to this home. Being situated near Wockhardt Hospital, Medisex Foundation and Nova IVI Fertility Basaveshwara Nagar, Bangalore, emergency care is very easily available at any time.

With Veeresh Cinema, Anjan Cinemas & Sri Veerabhadreshwara Theatre close by, you can catch your favourite movies running & never worry about missing a show because of traffic. If you are looking for gifts, or just want to spoil yourself, Gopalan Legacy Mall, Swathi Ceramics and Janatha Bazaar have a wide variety of things that you can choose from.

With a subway station located nearby, this home is well connected & offers many transit options.  If you are a frequent traveller, then you'll be happy to note that train station is less than 10 minutes from this house.",Bus StationsMysore Road Satellite Bus Station3.4 km | 12 minsVijayanagara TTMC1.1 km | 4 minsKSRTC Pick up point Katriguppe BMTC Bus Stop4.3 km | 14 minsKalinga Travels4.5 km | 16 minsSRS Travels5.3 km | 18 mins,"[""Children's play area"", 'Visitor parking']",1st main road vinayak layout 3 rd stage,Attiguppe,5.0
1704967475-2,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,3 BHK House For Sale  In Chandralayout,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-chandralayout-bangalore/8a9fb1838c5bcdf1018c5cd5ead90f08/detail,₹ 60 Lacs,"2,400",3 Bedroom,5 Bathroom,,Independent House,3-5 years,Self Owned,3-5 years,"2,400 sq.ft",Semi,East,4/4,No,No,This lovely three bedroom for sale is only 60 Lakhs rupees without any extra brokerage & could be your new home. This East facing home is over 2400 sqft. & is in a convenient location. This home is on the 4th floor & brings in light & air to the home.,Bus StationsChandra Layout 14th Cross70 m | 1 minChandra Layout0.3 km | 4 minsJyothi Nagar0.3 km | 5 minsChandra Layout-Bus Stop0.7 km | 10 minsNagarbhavi Circle Bus Stand1.2 km | 16 mins,,"Independent House, chandralayout near bbmp office",Attiguppe,5.0
1704967477-3,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,4 BHK House For Sale  In Chandra Layout,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-chandra-layout-bangalore/8a9f018287cb75020187cbc2b6ef3e91/detail,₹ 1.2 Crores,"1,200",4 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"1,200 sq.ft",Unfurnished,0/0,0/0,No,No,"This four bedroom in Chandra Layout for sale is an ideal investment, the home is spacious and comfortable.

With a subway station located nearby, this home is well connected & offers many transit options. 

Being situated near Radhakrishna Multispeciality Hospital and IVF Centre, Fortis Hospital and Vinayaka Hospital, emergency care is very easily available at any time. With Swarna Jyothi Kids Zone, Orchids The International School and JB Musicals close to this home, you'll be able to provide your children with many options to choose from.

Access to bus station & medical stores is very easy & convenient from this house.

Never miss out on lifestyle as Gopalan Legacy Mall, Vijayanagar BDA Shopping Complex and Nilgiri's are so close by. With Veeresh Cinema, Nalanda Theatre & TELENT ISO Certification Consultants close by, you can catch your favourite movies running & never worry about missing a show because of traffic.",Bus StationsMysore Road Satellite Bus Station2.6 km | 10 minsKSRTC Pick up point Katriguppe BMTC Bus Stop2.5 km | 8 minsVijayanagara TTMC1.9 km | 6 minsKalinga Travels5.9 km | 21 minsBCC Layout0.6 km | 3 mins,,"Independent House, st Main Rd, Gangagondanahalli, Binny Mills Employees Colony, near  Bangalore One Citizen Service Centre",Attiguppe,5.0
1704967480-4,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,1 RK House For Sale  In  Chandra Layout,https://www.nobroker.in/property/buy/1-rk-apartment-for-sale-in--chandra-layout-bangalore/8a9fad838c7fda73018c80535bb125ce/detail,₹ 20 Lacs,450,1 Bedroom,1 Bathroom,,Independent House,>10 years,Self Owned,>10 years,450 sq.ft,Unfurnished,East,0/1,No,No,"gf-1rk  1srf-commercial
A 1 RK in Chandra Layout for sale is now available, it is one of a few houses at this rate. This East facing home is over 450 sqft. & is in a convenient location.",Bus StationsChandra Layout-Bus Stop1.1 km | 15 minsNayandahalli Cross2.6 km | 31 minsSaraswati Nagar Bus Station2.2 km | 28 minsBHEL Bus station2.6 km | 32 minsBapujinagar Bus Stop2.8 km | 35 mins,,"Independent House, BDA Lay Out  near  Chamundeshwari Devastana",Attiguppe,5.0
1704967483-5,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,4 BHK House For Sale  In Vijayanagar,https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-vijayanagar-bangalore/8a9faf838c5bcdc7018c5c93b9cd583a/detail,₹ 5.5 Crores,"2,200",4 Bedroom,3 Bathroom,,Independent House,>10 years,Self Owned,>10 years,"2,200 sq.ft",Semi,South-East,0/0,Bike and Car,No,This lovely four bedroom for sale is only 5.5 Crores rupees without any extra brokerage & could be your new home. This South East facing home is over 2200 sqft. & is in a convenient location. You get ample & dedicated parking space for a car and bike with this home.,Bus StationsBCC Layout Cross0.4 km | 5 minsDeepanjali Nagar Busstop0.8 km | 10 minsKSRTC Bus Depot No 51.0 km | 12 minsBMTC Bus Stop0.9 km | 12 minsDeepanajalinagara1.0 km | 12 mins,,"Independent House, BCC Layout, Near Attiguppe  Metro Station",Attiguppe,5.0
1704967485-6,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,4+ BHK House For Sale  In Attiguppe,https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-attiguppe-bangalore/ff8081816c841b9c016c85ebe16c23fc/detail,₹ 1.5 Crores,"2,500",4 Bedroom,5 Bathroom,1.0,Independent House,>10 years,Self Owned,>10 years,"2,500 sq.ft",Fully furnished,West,0/2,Car,Yes,"total=5bhk
This 4+ BHK for sale comes with an affordable price tag of just 1.5 Crores rupees with an additional perk of paying no brokerage. This home is over 2500 sqft. & even comes with ample parking lot for a car. This home faces the West direction.

If you need amenities such as security you'll be happy to note that this home has this & more.

If you are in need of any emergency services or medical assistance, you will be happy to note that Wockhardt Hospital, Medisex Foundation and Radhakrishna Multispeciality Hospital and IVF Centre are very close by. With Raja Rajeshwari High School, SMARTKIDZ - PLAY SCHOOL IN CHANDRA LAYOUT, BANGALORE and Little Kidz Pre School close to this home, you'll be able to provide your children with many options to choose from.

If you are looking for gifts, or just want to spoil yourself, Gopalan Legacy Mall, Vijayanagar BDA Shopping Complex and Bharath Matrimony have a wide variety of things that you can choose from. As Veeresh Cinema, Anjan Cinemas & Sri Veerabhadreshwara Theatre are in close proximity to this house, you can catch the latest movies at any time.

If you are a frequent traveller, then you'll be happy to note that train station is less than 10 minutes from this house. With a subway station located nearby, this home is well connected & offers many transit options. 

The ATM & bus stop are close by, you will find having money in hand & access to public transport very easy. With a petrol pump & super market your daily needs are easily fulfilled",Bus StationsSubbanna Garden75 m | 1 minVijayanagara TTMC0.3 km | 4 minsR P C Layout Bus Stop0.3 km | 4 minsBMTC Bus Stop0.3 km | 4 minsMaruthi Mandira0.6 km | 9 mins,['Security'],"Independent House, 7th Main Rd near Shree Shani Mahatma Temple",Attiguppe,5.0
1704967488-7,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,3 BHK Flat In Madhav Kuteer For Sale  In Vijayanagar,https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-vijayanagar-bangalore/8a9f988276c768eb0176c76f0ca001f5/detail,₹ 1.35 Crores,"1,350",3 Bedroom,3 Bathroom,,Madhav Kuteer,>10 years,Self Owned,>10 years,,Semi,East,2/2,Bike and Car,No,"Finding a 3 BHK for sale in Vijayanagar at this price is next to impossible, now you can buy it without paying brokerage too. This East facing home is over 1350 sqft. & is in a convenient location. Situated on the 2nd floor this home can comfortably serve your parking facility for car and bike needs.

With Carmel High School, Rahmania English School and res convent close to this home, you'll be able to provide your children with many options to choose from. Being situated near Wockhardt Hospital, Fortis Hospital and Dr. Satyaprakash's Centre for Digestive and Liver Diseases, emergency care is very easily available at any time.

With MM Group, Prasanna Theatre & NimmaTickets close by, you can catch your favourite movies running & never worry about missing a show because of traffic. Never miss out on lifestyle as Swathi Ceramics, K S R T C Travels - Shobha Enterprises and Liberty Retail Revolutions Ltd are so close by.

If you are a frequent traveller, then you'll be happy to note that train station is less than 10 minutes from this house. With a subway station located nearby, this home is well connected & offers many transit options.",Bus StationsMysore Road Satellite Bus Station2.3 km | 8 minsSRS Travels5.7 km | 19 minsKR Market6.5 km | 19 minsChandra Layout1.8 km | 7 minsBCC Layout1.6 km | 6 mins,,"7th C Main Rd, RPC Layout, Vijayanagar, Bangalore",Attiguppe,5.0
1704967490-8,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,2 BHK Flat In Sri Ravi Aramane For Sale  In Chandra Layout,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-chandra-layout-bangalore/8a9fbf8278ac75620178acd7ca6a1ca0/detail,₹ 66 Lacs,"1,163",2 Bedroom,2 Bathroom,1.0,Sri Ravi Aramane,3-5 years,Self Owned,3-5 years,Vitrified Tiles,Semi,North,0/5,Bike and Car,No,"Currently Under Loan:icici
			BDA layout, just a walkable distance to bus stop, Attiguppe metro station,2 km to GT mall and Gopalan mall,wide road connectivity. Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.-- generated by system (SIA)Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.-- generated by system (SIA)Finding a 2 BHK for sale in Chandra Layout at this price is next to impossible, now you can buy it without paying brokerage too. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking lot for a car and bike with this home.

With amenities such as lift this home offers you a lot of convenience.-- generated by system (SIA)
A 2bhk in Chandra Layout for sale is now available, it is one of a few houses at this rate. This North facing home is over 1163 sqft. & is in a convenient location. You get ample & dedicated parking facility for car and bike with this home.

If you are looking for a home with lift, this home is just right for you.

With an ATM, petrol pump & super market near this home, you'll never have to go far for these essentials.

Being situated near BGS Gleneagles Global Hospitals, RajaRajeswari Medical College and Hospital and Acs engineering college and Goutham Hospital, emergency care is very easily available at any time. With Orchids The International School, Carmel Public School and National Public School Kengeri close to this home, you'll be able to provide your children with many options to choose from.

If you are looking for gifts, or just want to spoil yourself, Live In, Access 2 Future and Proline have a wide variety of things that you can choose from. With Robin Theatre, Venkateshwara Theatre & Pavanasuta Studios close by, you can catch your favourite movies running & never worry about missing a show because of traffic.",Bus StationsRailway Station Kengeri63 m | 1 minKSRTC Ticket Booking Centre3.9 km | 48 minsKengeri Police Station4.0 km | 49 minsVijayanand Roadlines2.5 km | 31 minsNagadevanahalli2.5 km | 32 mins,['Lift'],4th Cross Rd near Bangalore One Citizen Service Centre,Attiguppe,5.0
1704967492-9,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,2 BHK Flat For Sale  In Chandra Layout,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-chandra-layout-bangalore/8a9fa68282dcd95b0182dd2b5f7a0b8d/detail,₹ 95 Lacs,"1,100",2 Bedroom,2 Bathroom,,Standalone Building,1-3 years,Self Owned,1-3 years,"1,100 sq.ft",1/4,East,1/4,Bike and Car,Yes,"It is a 2 bedroom, well furnished, East facing flat located in Chandra Layout (near Bengaluru one)
This lovely two bedroom for sale is only 95 Lakhs rupees without any extra brokerage & could be your new home. This home is over 1100 sqft. & even comes with ample parking facility for car and bike. This East facing home is on the 1st floor.

If you are looking for a home with security, this home is just right for you.

Never miss out on lifestyle as Rockline Mall, Balaji Fibre Glass [en] and Greenhubstore are so close by. As Akash Cinemas, Carnival Cinemas & BHAVISH RK CREATIONS are in close proximity to this house, you can catch the latest movies at any time.

Public transport, fuel & groceries are easy to find near this home as bus station, petrol pump,super market are very close.

With Music Mane School of Music & Dance, EuroKids Pre-School - RukminiNagar and L.G National Public School close to this home, you'll be able to provide your children with many options to choose from. Sarojini Hospital and Shushruthi Hospital & Research Centre are close by and are known for providing exceptional medical care.",Bus StationsSuvarna Nagar Bus Stop0.7 km | 9 minsDoddabidarakallu1.0 km | 12 minsBMTC Bus Depot1.9 km | 25 mins,['Security'],"Standalone Building, i phase, Vijayanagar, 50, 8th Main Rd, II Stg,  near Vidya Sagar Public English School",Attiguppe,3.0
1704967494-10,https://www.nobroker.in/property/sale/bangalore/Attiguppe?searchParam=W3sibGF0IjoxMi45NTk3OTE0LCJsb24iOjc3LjUyODk3OTcsInBsYWNlSWQiOiJDaElKaVRRV29IQS1yanNSQTFnazF2WGJMQkEiLCJwbGFjZU5hbWUiOiJBdHRpZ3VwcGUiLCJzaG93TWFwIjpmYWxzZX1d&radius=2.0&city=bangalore&locality=Rajajinagar&isMetro=false,1 BHK Flat In Slumboard Apartment For Sale  In Chandra Layout,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-chandra-layout-bangalore/8a9ff78389589de401895928b3a66cc2/detail,₹ 20 Lacs,500,1 Bedroom,1 Bathroom,,Slumboard Apartment,Newly Constructed,Self Owned,Newly Constructed,,Unfurnished,East,1/4,No,No,This lovely 1BHK for sale is only 20 Lakhs rupees without any extra brokerage & could be your new home. This East facing home is over 500 sqft. & is in a convenient location. This home is on the 1st floor & brings in light & air to the home.,Bus StationsChandra Layout-Bus Stop0.5 km | 7 minsNayandahalli Cross2.2 km | 26 minsBHEL Bus station1.7 km | 22 minsR P C Layout Bus Stop1.6 km | 21 minsVijayanagar TTMC Bus Stop1.7 km | 23 mins,,"2nd Stage Rd, BCC Layout near Vidyasagar Public School",Attiguppe,5.0
