price,sqft,bedroom,bathroom,balcony,age,flooring,furnishing,facing,parking,gated_security,amenities,locality,Children,Club,Fire,Gas,Gym,Intercom,Internet,Lift,Park,Security,Sewage,Shopping,Swimming,Visitor,price/sqft
6000000,1030,2,2,1,4,1,2,2,1,0,2,Attiguppe,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5825.242718
6000000,2400,3,5,0,2,0,2,2,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
12000000,1200,4,1,0,4,0,1,0,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
2000000,450,1,1,0,4,0,1,2,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4444.444444
55000000,2200,4,3,0,4,0,2,6,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000
15000000,2500,4,5,1,4,0,3,3,1,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6000
13500000,1350,3,3,0,4,0,2,2,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
6600000,1163,2,2,1,2,1,2,1,2,0,1,Attiguppe,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5674.978504
9500000,1100,2,2,0,1,0,0,2,2,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8636.363636
2000000,500,1,1,0,5,0,1,2,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
9500000,686,2,3,2,4,0,0,1,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13848.3965
16500000,3300,4,9,0,3,0,0,2,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
8000000,1200,4,3,0,2,0,2,1,2,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6666.666667
36000000,2000,4,10,0,3,0,2,1,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
8000000,900,2,2,1,4,2,1,1,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8888.888889
15000000,2800,4,9,0,5,0,1,2,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5357.142857
40000000,600,1,1,0,4,0,3,6,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66666.66667
4500000,600,1,1,0,4,0,2,1,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
20000000,1200,3,2,0,4,0,2,3,2,0,6,Attiguppe,1,0,0,0,0,0,0,0,1,0,1,1,1,1,16666.66667
6500000,1100,2,2,2,4,1,2,2,1,1,3,Attiguppe,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5909.090909
7500000,1200,2,2,2,4,0,2,2,2,1,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250
7000000,1196,2,2,0,4,0,1,2,2,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5852.842809
52000000,3600,4,9,0,4,0,2,2,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14444.44444
13000000,2400,4,6,0,4,0,0,5,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5416.666667
12500000,2500,4,6,0,3,0,1,2,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
9000000,1225,3,2,0,4,2,2,2,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7346.938776
25000000,1600,3,2,0,4,0,2,1,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15625
40000000,5800,4,12,0,3,0,0,3,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6896.551724
25000000,1450,3,2,0,4,0,2,5,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17241.37931
115000000,1635,3,3,2,4,1,3,4,2,1,5,Attiguppe,0,0,1,0,0,0,0,1,0,1,0,0,1,1,70336.39144
38000000,7920,4,10,0,3,0,1,1,0,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4797.979798
9000000,1225,3,2,0,4,2,2,2,1,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7346.938776
5500000,900,2,2,1,4,3,2,3,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6111.111111
9800000,1500,4,3,2,4,0,1,1,0,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6533.333333
4600000,700,1,1,1,4,2,2,1,2,0,10,Attiguppe,1,1,1,0,0,1,1,1,1,0,0,1,1,1,6571.428571
10000000,1350,3,3,1,1,3,3,2,2,0,1,Attiguppe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7407.407407
9900000,1175,2,2,1,5,0,0,2,2,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8425.531915
12000000,1415,3,2,3,2,3,2,3,2,1,11,Attiguppe,1,1,1,1,1,1,0,1,1,1,0,0,1,1,8480.565371
7000000,2400,4,1,0,1,0,2,1,0,0,1,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2916.666667
3500000,540,1,1,0,4,2,1,3,0,1,2,Attiguppe,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6481.481481
32500000,3900,4,7,0,3,0,2,1,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333.333333
41000000,1200,3,2,1,4,0,1,4,2,0,3,Attiguppe,0,0,0,1,0,0,0,0,1,0,0,1,0,0,34166.66667
7500000,1200,2,2,1,3,3,2,1,2,1,3,Attiguppe,0,0,0,1,0,0,0,1,0,1,0,0,0,0,6250
6500000,1005,2,2,2,4,0,2,1,2,0,6,Attiguppe,1,0,1,0,0,1,0,1,1,0,0,0,0,1,6467.661692
9000000,2000,4,6,0,4,0,1,2,3,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
8500000,1260,3,3,0,1,0,1,2,2,0,0,Attiguppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6746.031746
8500000,998,2,2,2,4,1,2,3,1,1,4,Attiguppe,0,0,1,0,0,0,1,1,0,1,0,0,0,0,8517.034068
11000000,1560,3,2,2,0,1,1,2,2,1,1,Attiguppe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7051.282051
13500000,1310,2,2,3,3,2,3,1,1,1,9,Attiguppe,0,0,1,1,0,0,1,1,1,1,1,1,0,1,10305.34351
6300000,1629,2,2,4,4,0,2,1,1,1,2,Banashankari,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3867.403315
6000000,550,2,2,1,4,0,1,1,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10909.09091
9000000,1350,3,2,2,4,1,2,2,2,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666.666667
9500000,1350,3,3,1,1,1,3,2,2,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7037.037037
7500000,1300,3,3,0,3,0,0,4,2,0,2,Banashankari,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5769.230769
8300000,1160,2,2,3,3,2,3,5,2,1,7,Banashankari,1,0,0,0,1,1,1,1,0,1,0,0,0,1,7155.172414
6000000,1050,2,2,2,4,0,2,0,2,1,3,Banashankari,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5714.285714
11500000,995,2,2,1,4,0,2,3,0,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11557.78894
27000000,1950,3,3,2,0,0,0,3,2,1,7,Banashankari,0,1,1,1,1,0,0,1,1,1,0,0,0,0,13846.15385
64000000,3100,4,3,2,4,0,3,2,1,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20645.16129
15000000,1455,3,3,2,5,1,3,1,1,1,8,Banashankari,0,1,0,1,1,0,1,1,1,1,0,0,0,1,10309.27835
6900000,1200,3,3,1,4,0,2,1,1,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750
6499000,1280,2,2,3,4,1,2,2,1,1,9,Banashankari,1,0,1,1,0,0,1,1,1,1,0,1,0,1,5077.34375
10500000,1750,3,3,1,4,1,2,3,2,1,6,Banashankari,1,0,0,0,0,1,0,1,0,1,1,0,0,1,6000
7500000,1260,3,2,1,5,1,1,2,2,1,1,Banashankari,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5952.380952
17700000,1540,3,3,2,3,1,2,2,2,1,4,Banashankari,0,0,0,0,1,1,0,0,1,1,0,0,0,0,11493.50649
10200000,2100,4,1,1,4,0,2,2,1,0,1,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4857.142857
14500000,1940,3,2,2,4,1,2,2,2,0,1,Banashankari,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7474.226804
36000000,6386,3,12,8,4,0,2,2,2,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5637.331663
11000000,1275,2,2,1,2,1,2,2,2,1,8,Banashankari,0,1,1,0,1,1,1,1,0,1,1,0,0,0,8627.45098
30000000,3000,4,3,2,4,0,2,2,0,0,1,Banashankari,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10000
10000000,500,4,1,0,1,0,2,2,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
6250000,925,2,2,1,5,1,1,2,2,1,2,Banashankari,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6756.756757
16000000,2400,3,4,2,3,0,3,4,1,0,2,Banashankari,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6666.666667
18000000,2500,4,4,3,4,0,2,2,3,0,0,Banashankari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200
